,언론사,뉴스제목,본문내용,카테고리,이미지url,link,시간
0,한국경제TV,"'유튜버 광고'에 뿔난 리니지2M 유저들, 엔씨에 소송","엔씨소프트의 게임 '리니지2M' 이용자들이 회사의 잘못된 프로모션 관행으로 피해를 입었다며 민사소송을 제기했다.

리니지2M 이용자 381명은 30일 엔씨소프트를 상대로 1인당 10만 원씩, 총 3천810만 원을 청구하는 손해배상 소송을 부산지법에 냈다고 밝혔다.

소송을 낸 게이머들은 엔씨소프트가 특정 유튜버에게 방송 송출을 대가로 광고료를 지급한 것이 신의성실의 원칙 위반이며, 게임 세계에 개입하지 않고 중립성을 지킬 주의 의무를 어겼다고 주장했다.

이어 원고인 리니지2M 게이머들이 엔씨소프트의 행위로 재산적, 정신적 손해를 입었다고 덧붙였다.

(사진=연합뉴스)",IT 일반,https://imgnews.pstatic.net/image/215/2022/09/30/A202209300307_1_20220930224702726.jpg?type=w647,https://n.news.naver.com/mnews/article/215/0001057413?sid=105,2022.09.30. 오후 10:46
1,KBS,‘가을볕은 보약’?…오존주의보 역대 최다,"‘가을볕은 보약’?…오존주의보 역대 최다
KBS뉴스
|
재생 수
2,530
00:00 | 02:11
자막
자막
화질 선택 옵션
자동



[앵커]

가을볕은 '보약'이라는 옛말 말그대로 옛말이 됐습니다.

최근 강한 가을볕에 연일 오존주의보가 내려지면서 호흡기나 심혈관 질환이 있으신 분들은 각별히 주의하셔야겠습니다.

기후위기대응팀 이정훈 기상전문기자가 취재했습니다.

[리포트]

아침 출근 시간, 가을 하늘이 안개와 미세먼지가 뒤섞여 뿌옇게 변했습니다.

낮이 되면서 차차 청명함을 되찾은 하늘.

시민들은 삼삼오오 익어가는 가을을 만끽했습니다.

[지예은/서울시 관악구 : ""가을 날씨여서 날씨가 너무 좋아서 산책하고 싶어서 나왔어요.""]

하지만 같은 시각, 서울의 오존농도는 0.12ppm까지 치솟았습니다.

오늘(30일) 오후 서울을 비롯해 전국 28개 권역에 오존주의보가 내려졌습니다.

어제(29일)에 이어 이틀째, 이달에만 전국에 62차례나 오존주의보가 발령됐습니다.

2015년에는 한 차례도 없었던 가을 오존주의보.

하지만 이후 점차 늘더니 지난해부터 2년 연속 사상 최다치를 경신했습니다.

오존은 기온이 높고 자외선이 강한 날, 자동차 매연이나 산업 과정에서 나온 오염 물질이 서로 반응해 만들어집니다.

[김순태/아주대 환경안전공학과 교수 : ""10월 초까지 나타나는 건 국내 영향인데요. 아무래도 전반적인 기후가 오존이 잘 생성될 수 있는 방향으로 바뀌는 게 아닌가 싶습니다.""]

특히 최근에는 대기 오염 물질이 크게 늘며 오존과 초미세먼지 농도를 함께 끌어 올리고 있습니다.

실제로 천리안 환경 위성을 보면 수도권과 산업 단지 일대에서 짙은 붉은색으로 변해있습니다.

초미세먼지와 오존의 공통 재료인 이산화질소인데, 지난 주말보다 40%나 늘었습니다.

[이승법/국립환경과학원 예보관 : ""우리나라는 계속 안정된 고기압권에 들면서 미세먼지와 오존 농도는 내일까지 높게 나타날 것으로 예상됩니다.""]

오존은 미세먼지와 달리 마스크로도 막을 수 없습니다.

한국환경공단의 에어코리아 홈페이지 등을 참고해 오존 정보를 확인해야 합니다.

오존 농도가 높은 시간대엔 외출이나 환기를 하지 않는 게 최선입니다.

KBS 뉴스 이정훈입니다.

촬영기자:김재현/영상편집:황보현평/그래픽:서수민",IT 일반,No image,https://n.news.naver.com/mnews/article/056/0011348669?sid=105,2022.09.30. 오후 9:51
2,KBS,아이폰14 사전예약 틈타 고가 요금제 강요,"아이폰14 사전예약 틈타 고가 요금제 강요
KBS뉴스
|
재생 수
2,573
00:00 | 01:56
자막
자막
화질 선택 옵션
자동



[앵커]

애플의 새 휴대전화 아이폰14의 사전예약이 오늘(30일)부터 시작됐습니다.

그런데 신형 출시를 틈타 고가요금제를 강요하는 등 위법 행위가 기승을 부리고 있습니다.

신현욱 기자가 취재했습니다.

[리포트]

경기도의 한 휴대전화 판매점입니다.

다음 주 출시하는 아이폰 14 사전예약이 진행 중인 상황.

그런데 넉 달 동안 한 달 약 9만 원을 내야 하는 고가요금제 가입을 요구합니다.

고가요금제를 가입하지 않으면 사전예약을 할 수 없다고 말합니다.

사실상 강요하는 겁니다.

[A 판매점/음성변조 : ""이거(고가 요금제)는 어쩔 수가 없어요. 사실은 이거를 해야 저희도 예약을 받을 수가 있는 부분이니까.""]

다른 대리점 역시 고가요금제 가입을 요구합니다.

[B 대리점/음성변조 : ""4개월 정도 한 (월) 9만 원 정도 나올 거예요. (9만 원을 매달 안 쓰고는 사전예약 할 수 있는 방법이 없는 거네요?) 기계가 없죠.""]

고가요금제 가입을 유도하기 위해 고가의 사은품 또는 현금으로 유혹하기도 합니다.

[A 판매점/음성변조 : ""따로 제가 지원을 해드릴게요. (그게 어떻게 지원이 돼요?) 통장으로 입금해드려요. 원래 안되는 거죠.""]

모두 위법행위들입니다.

공시 지원금 외에 지원금을 더 주는 조건으로 특정 요금제를 사용하게 하는 것은 단말기유통법상 금지행위입니다.

대리점이나 판매점은 고가요금제 고객을 유치할 수록 이동통신사로부터 더 많은 수수료를 받을 수 있어 이런 위법행위를 버젓이 하고 있습니다.

특히 신규 가입자가 증가하는 신형휴대전화 출시 기간에는 위법행위가 더 기승을 부립니다.

[윤영찬/국회 과학기술정보방송통신위원회 위원 : ""대리점이나 판매점에 대해서 본인들이 통제할 수 없다, 이렇게 이야기를 하지만 사실은 그 요금 구조를 책정하고 강제하는 건 통신사입니다.""]

올해 정보통신진흥협회에 접수된 단통법 위반 신고 2천6백여 건의 28%는 실제 이동통신사들이 연루된 불공정행위였습니다.

KBS 뉴스 신현욱입니다.

촬영기자:장세권 문아미/영상편집:한찬의",IT 일반,No image,https://n.news.naver.com/mnews/article/056/0011348667?sid=105,2022.09.30. 오후 9:48
3,KBS,아이폰14 사전예약 틈타 고가 요금제 강요,"아이폰14 사전예약 틈타 고가 요금제 강요
KBS뉴스
|
재생 수
309
00:00 | 02:06
화질 선택 옵션
자동",IT 일반,No image,https://n.news.naver.com/mnews/article/056/0011348623?sid=105,2022.09.30. 오후 9:45
4,동아일보,"스튜디오 음향기기의 강자 노이만, 1인 미디어 시장도 노린다","독일에 본사를 둔 오디오 전문 기업 젠하이저(Sennheiser)가 자회사 ‘노이만(NEUMANN)’을 앞세워 국내 전문가용 오디오 시장 공략을 본격화한다. 30일, 젠하이저코리아는 서울 대학로에 위치한 ‘노이만 스튜디오’에서 최신 기술을 소개하는 ‘2022 노이만 신제품 설명회’를 진행했다.

젠하이저코리아 이종석 상무 (출처=IT동아)


노이만은 1927년에 설립되어 90여년의 역사를 가진 오디오 기기 전문 브랜드로, 특히 방송 및 공연, 콘텐츠 제작용 등으로 쓰이는 마이크와 모니터 스피커(청취용 스피커)가 주력 제품이다. 최근에는 헤드폰 제품을 출시하는 등 영역을 차츰 넓히고 있다.

이날 행사에 참여한 젠하이저코리아 이종석 상무는 코로나19 팬데믹 기간 중 많은 기업들이 어려움을 겪는 가운데 오디오 레코딩 시장은 오히려 수혜를 입었다고 전했다. 특히 유튜브, 팟케스트 등의 1인미디어, 그리고 넷플릭스를 비롯한 OTT 관련 전문가용 오디오 기기 시장이 크게 성장했다며, 덕분에 한층 기술 개발에 많은 투자가 가능했다고 밝혔다. 특히 노이만은 코로나19 기간 동안 이전 대비 매출이 2배 성장했다는 점을 강조했다.

새로 출시된 오픈백 구조의 스튜디오 헤드폰, 노이만 ‘NDH30’ (출처=IT동아)


이날 가장 먼저 소개된 노이만의 신제품은 스튜디오 헤드폰인 ‘NDH30’이다. 노이만이 이전에 출시했던 NDH20은 헤드폰 바깥쪽이 막힌 ‘클로즈드백’ 구조의 제품이었으나 이번 NDH30은 개방 구조의 ‘오픈백’ 구조를 갖췄다.

덕분에 상황에 따라 내부가 신축적으로 움직이므로 한층 자연스러운 소리를 들을 수 있으며, 일부 소리가 빠져나가는 단점은 있지만 전반적인 소리가 맑고 섬세한 특성이 있다고 젠하이저코리아의 김태한 이사는 강조했다.

이와 더불어 헤드폰과 케이블을 연결하는 플러그 부위도 신경을 썼다. 좌우 채널 신호 전달부에 그라운드(접지)를 따로 두는 등 전반적인 개선 작업을 통해 한층 깊이감 있는 소리를 들을 수 있다고 밝혔다. 참고로 NDH30에 적용된 이 케이블은 NDH20에도 호환된다.

또한 오랜 시간 동안 헤드폰을 착용하고 작업을 이어가야 하는 사운드 엔지니어의 특성을 고려, 편안한 착용감을 구현했다는 설명도 덧붙였다. 그리고 사운드 엔지니어가 정확하게 소리 모니터링을 할 수 있도록 모니터 스피커와 헤드폰에서 출력되는 소리의 이질감을 줄이기 위해 노력했다고 밝혔다.

1951년 제품의 복각형인 노이만 ‘M 49 V’ 마이크를 소개하는 젠하이저 코리아 김태한 이사 (출처=IT동아)


한편, 최근 노이만이 과거의 ‘명기’를 복각하고 있다는 소식도 전했다. 이날 소개된 ‘M 49 V’가 대표적인 제품이다. 이는 1951년에 첫 출시된 스튜디오용 튜브(진공관) 마이크로, 노이만 역사상 가장 큰 성공을 거둔 바 있는 제품이다. 단종된 지 수십년이 지났지만 아직도 이를 활용하는 스튜디오가 있을 정도로 유명한 제품인데, 과거의 ‘전설’을 부활시킨다는 의미에서 노이만은 다시 태어난 M 49 V를 출시하게 되었다고 밝혔다.

M 49 V는 독일 현지의 장인이 직접 수작업으로 생산하며, 각 생산 단계마다 담당 장인이 서명을 할 정도로 섬세하게 제작된다. 이 때문에 한 달에 불과 25개만 생산 가능하다. 특히 마이크 본체를 지지하는 서스펜션까지 장인이 직접 다듬어 만드는 등, 소리에 영향을 미칠 수 있는 세세한 진동까지 잡아냈다고 김태한 이사는 강조했다.

다양한 악기에 붙여 쓸 수 있는 노이만의 ‘MCM’ 미니어처 클립 마이크 (출처=IT동아)


각종 악기에 직접 붙여서 쓰는 ‘MCM’ 미니어처 클립 마이크도 이날 소개되었다. 기존 시장에서 널리 이용하던 타사 제품 대비 자연스러운 소리, 높은 내구성을 갖추고 있는 것이 특징이다. 기타, 첼로 바이올린, 그랜드 피아노 등 다양한 악기에 부착 가능한 액세서리를 제공하며, 타사 제품과 달리 캡슐 부분을 티타늄으로 제작해 튼튼하다. 또한 캡슐 부분만 새로 교체가 가능하므로 기존의 타사 제품대비 오래 쓸 수 있는 것도 특징이라고 김태한 이사는 밝혔다.

노이만 ‘KH 150’ 모니터 스피커도 이날 소개되었다 (출처=IT동아)


그 외에 모니터 스피커인 ‘KH 150’도 이날 소개되었다. 이는 기존의 KH 120과 KH 310 사이에 위치한 제품으로, 정확한 사운드 구현을 통해 스튜디오 작업을 돕는다. 특히 내장된 DSP를 통해 제품이 설치된 공간의 잔향을 분석, 해당 공간에 최적화된 사운드로 자동 조정되는 캘리브레이션 기능도 갖춘 것이 특징이다. 한편, 이날 행사장에는 새로 출시한 노이만 NDH30 스튜디오 헤드폰을 직접 체험할 수 있는 시연 코너도 마련되었다. 이곳에서 체험한 노이만 NDH30의 사운드는 흔히 이용하는 일반 헤드폰과 상당한 차이가 있었다. 일반 헤드폰이 각종 꾸밈을 통해 듣기 좋게 가공한 소리를 들려준다면, 노이만 NDH30의 소리는 원본 소스의 소리를 아무런 변형이나 왜곡없이 사용자의 귀로 전달한다는 느낌이다.

노이만 NDH30 헤드폰의 사운드를 체험하고 있는 참석자 (출처=IT동아)


이는 스튜디오용 헤드폰의 특징이기도 하다. 단순히 귀를 즐겁게 하는 소리가 아닌, 원음을 충실하게 재현한 소리를 들을 수 있어야 왜곡이나 과장 없는 콘텐츠의 제작이 가능하기 때문이다. 노이만 NDH30는 100만원 전후의 고가 헤드폰이다. 단순히 듣기 좋은 소리를 들려주는 음악 감상용 헤드폰을 맞는다면 이 제품은 적합하지 않을 수 있다. 본격적으로 콘텐츠를 제작하려고 하는 전문가, 왜곡이나 변형 없는 순수한 원음을 추구하는 사용자라면 관심을 가질 만한 제품이다.

동아닷컴 IT전문 김영우 기자 pengo@itdonga.com",IT 일반,https://imgnews.pstatic.net/image/020/2022/09/30/0003453916_001_20220930210001104.jpg?type=w647,https://n.news.naver.com/mnews/article/020/0003453916?sid=105,2022.09.30. 오후 9:00
5,연합뉴스TV,반도체 부진에 생산 두 달째 감소…소비·투자는 반등,"[뉴스리뷰]

[앵커]

8월 산업생산이 두 달 연속 감소했습니다.

반도체 재고가 쌓이고 코로나 백신 구매가 줄어든 게 영향을 미쳤는데요.

반면 거리두기 해제로 야외활동이 늘고, 디스플레이 등 기계류 수입이 늘면서 소비와 투자는 반등했습니다.

이은정 기자입니다.

[기자]

8월 산업생산이 두 달 연속 뒷걸음쳤습니다.

무엇보다 반도체 부진 영향이 컸습니다.

반도체 생산은 한 달 전보다 14% 넘게 급감했는데, 4년 7개월 만에 처음으로 1년 전보다 생산이 줄어든 겁니다.

중국의 봉쇄 조치와 세계 경기 둔화 여파로 재고가 쌓이면서 반도체업의 불확실성이 커졌다고 통계청은 분석했습니다.

코로나19 확산세 둔화에 따른 백신 구매량 감소로 공공행정 생산이 9.3% 줄어든 점도 생산 감소의 원인이었습니다.

반면 소비는 4.3%로 6개월 만에 반등했는데, 증가폭도 2년 3개월 만에 가장 컸습니다.

휴가철 야외활동이 늘어나면서 자동차와 의류 판매가 확대됐고, 평소보다 이른 추석이 음식료품 판매 증가에 영향을 미친 겁니다.

투자도 증가세로 돌아섰습니다.

디스플레이와 반도체 장비와 같은 기계류 투자가 늘면서 설비투자는 8.8% 증가했습니다.

<어운선 / 통계청 경제동향통계심의관> ""소매 판매와 설비투자 등 내수와 서비스업 생산은 호조를 보였지만, 수출과 광공업 생산이 다소 부진하면서 지난 달에 이어 경기 회복 내지 개선 흐름이 주춤하는 모습을 보였다고….

정부는 소비가 회복세를 보이고 있지만, 미국을 비롯한 주요국의 통화 긴축이 가속화하고 우크라이나 전쟁으로 인한 에너지 불안 등의 영향으로 ""경기 흐름은 불확실성이 높아진 상황""이라고 평가했습니다.

연합뉴스TV 이은정입니다. (ask@yna.co.kr)

#산업생산 #반도체 #디스플레이 #설비투자 #투자증가

연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",IT 일반,No image,https://n.news.naver.com/mnews/article/422/0000563091?sid=105,2022.09.30. 오후 8:53
6,문화일보,"‘아이폰14’ 공시지원금, 갤럭시Z플립4·폴드4의 37％ 수준","최대 공시지원금은 KT의 24만 원

지난 7일 미국 캘리포니아주 쿠퍼티노 애플파크에서 열린 아이폰14 공개 행사장에 아이폰14 프로 모델이 전시돼 있다. AP·연합뉴스


30일 이동통신 3사가 사전 판매를 시작한 애플의 신제품 스마트폰에 대해 최대 24만 원을 지원하는 것으로 나타났다.

이날 관련 업계에 따르면 아이폰14 시리즈에 대한 이통 3사의 공시지원금은 최소 5만 원, 최대 24만 원이다. 이는 삼성전자가 지난달 갤럭시Z플립4·폴드4를 출시할 당시 공시지원금 최소 15만6000원 및 최대 65만 원)의 37％ 수준인 것이다. 또 이같은 이통3사의 공시지원금 책정에 따라 유통업체 등이 통신사 공시지원금의 15％로 지원하는 추가지원금은 최대 3만6000원 수준일 것으로 예상된다.

각 통신사별로 최고 공시지원금이 가장 많은 곳은 KT였다. KT는 각 요금제에 따라 5만∼24만 원의 공시지원금을 준다. 또 SK텔레콤의 공시지원금은 7만4000∼13만7000원, LG유플러스는 5만6000∼22만9000원의 공시지원금을 제공한다. 다만 이는 예고된 공시지원금이며, 최종 확정 전에 변경될 수도 있다.

한편 아이폰14 시리즈는 다음 달 7일 국내 정식 출시 예정이다. 판매가는 기본 모델 124만3000원, 플러스 134만2000원, 프로 154만 원, 프로맥스 174만9000원부터다.",IT 일반,https://imgnews.pstatic.net/image/021/2022/09/30/0002533841_001_20220930204301076.jpg?type=w647,https://n.news.naver.com/mnews/article/021/0002533841?sid=105,2022.09.30. 오후 8:43
7,경향신문,일찍 예약하는 자가 ‘빨리·많이’ 받는다,"통신 3사, 아이폰14 예판 경쟁


SKT·KT, 출시 당일 퀵배송
LGU+, 에어팟 등 경품 다양

아이폰14 등 애플 신제품 예약 판매가 30일 시작되면서 통신 3사가 다양한 이벤트를 내세우며 판촉에 나섰다. 사전예약은 오는 6일까지 진행되며 공식 출시일은 7일이다.

SK텔레콤은 공식 온라인몰 T다이렉트샵에서 1차 사전예약을 한 고객 선착순 5000명에게 출시일에 아이폰을 받아 볼 수 있는 서비스를 제공한다. 오전 8시 매장 개장과 동시에 예약한 아이폰을 받을 수 있는 ‘모닝픽’과 오전 중 빠르게 배송을 받아 볼 수 있는 ‘모닝퀵’ 프로그램이다.

또 청소년·청년층을 위한 1334 브랜드 ‘0’과 패션 플랫폼 ‘W컨셉’, 걸그룹 아이즈원 출신의 가수 최예나씨가 함께하는 ‘0 CONCEPT 기획전’을 진행한다. 다음달 20일까지 아이폰14를 구매하고 이벤트에 응모한 SKT 고객 중 총 4200명을 추첨해 최씨가 ‘0 컨셉’에서 사용한 아이템과 ‘W컨셉’ 40만원 할인 쿠폰(5명), ‘W컨셉’ 20만원 할인 쿠폰(10명) 등을 증정한다.

줄을 서시오 애플의 신제품 아이폰14 시리즈 국내 사전예약이 시작된 30일 서울 이마트 성수점 내 에이스토어에서 시민들이 사전예약을 위해 줄지어 서 있다. 연합뉴스


KT는 서울 및 6대 주요 광역시에 거주하는 아이폰14 구매자 가운데 선착순 2000명을 대상으로 출시일 오전 퀵서비스로 제품을 배달하는 ‘굿모닝 배송’ 서비스를 운영한다. 아이폰14 시리즈 구매 고객에게 내년 6월까지 애플TV+(플러스) 3개월 이용권도 추가로 지급한다. 아이폰14 구매자에게 기본으로 주어지는 3개월 혜택에 더해 최대 6개월까지 무료로 애플TV+를 시청할 수 있다.

KT 초이스 요금제를 이용하면 데이터·콘텐츠를 무제한으로 이용할 수 있으며, 여기에 프리미엄 결합 할인(25％)과 선택약정 할인(25％)도 적용된다.

LG유플러스는 6일까지 6회에 걸쳐 진행되는 ‘유플러스 라이브’ 방송에서 아이폰14 라인업 사전예약을 인증한 고객 중 회차별로 추첨을 통해 에어팟 맥스와 애플 워치8 41㎜ GPS, 맥북에어 M1칩 모델과 인케이스 맥북 파우치, 애플 워치 울트라와 전용 밴드 등 다양한 상품을 증정한다. LG유플러스는 아이폰14를 비롯해 어느 기종으로든 온라인 전용 요금제인 ‘5G다이렉트65(월정액 6만5000원)에 가입하면 애플 신제품 액세서리인 ‘애플워치 SE 2세대’나 ‘에어팟 프로 2세대’ 중 하나의 할부금을 전액 할인받을 수 있는 패키지 상품도 출시했다.",IT 일반,https://imgnews.pstatic.net/image/032/2022/09/30/0003176606_001_20220930203903066.jpg?type=w647,https://n.news.naver.com/mnews/article/032/0003176606?sid=105,2022.09.30. 오후 8:39
8,연합뉴스,"우티, 택시기사 현장 소통 '대면 지원센터' 운영","우티 대면 지원센터
[우티 제공. 재판매 및 DB 금지]


(서울=연합뉴스) 임성호 기자 = 우버와 티맵모빌리티의 합작회사인 우티는 택시 기사들의 현장 민원에 대응하고 소통하기 위한 '대면 지원센터'를 운영한다고 30일 밝혔다.

센터는 우티 공릉 지원센터(공릉복지충전소), 우티 노원 지원센터(노원복지충전소 2층), 우티 신정 지원센터(신정복지충전소), 우티 율현 지원센터(한국택시발전연구소 모빌리티 지원센터 내에서 매주 월요일 운영) 4곳에 설치됐다.

톰 화이트 우티 최고경영자(CEO)는 ""대면 지원센터 운영은 기사들의 운행 지원 강화를 위한 노력의 일환으로, 가맹 택시 기사들과 가맹을 희망하는 택시 기사들을 위한 소통 창구가 될 것""이라며 ""우티 택시 기사들이 편리하게 우티 앱을 사용하고, 더 나은 환경에서 운행할 수 있도록 아낌없는 지원을 이어나갈 것""이라고 말했다.

sh@yna.co.kr",IT 일반,https://imgnews.pstatic.net/image/001/2022/09/30/AKR20220930172000017_01_i_P4_20220930201709707.jpg?type=w647,https://n.news.naver.com/mnews/article/001/0013475920?sid=105,2022.09.30. 오후 8:17
9,한국일보,"삼성전자, 하반기 반도체 매출 전망치 반년 만에 30% 낮췄다","삼성전자 평택캠퍼스 라인. 삼성전자 제공.


삼성전자가 올해 하반기 반도체 실적 전망치를 큰 폭으로 하향 조정한 것으로 확인됐다. 글로벌 경기침체에 따른 반도체 업황 악화를 반영한 것으로 풀이된다.

30일 업계에 따르면, 삼성전자 고위관계자는 최근 임직원과의 만남에서 ""올해 하반기 매출 가이던스를 4월 전망치보다 30%가량 낮췄다""고 밝힌 것으로 전해졌다. 지난 4월 삼성전자의 하반기 반도체 매출 시장 컨센서스(증권사 전망치 평균)는 67조 원 수준으로, 이보다 실적 눈높이를 30%가량 낮출 경우 하반기 반도체 매출 전망치는 46조 원대로 내려간다.

삼성전자가 이처럼 내부 가이던스를 하향 조정한 것은 삼성전자가 주력으로 삼는 메모리 반도체 업황이 급속도로 악화됐기 때문이란 분석이 나온다. 대만의 시장조사업체 트렌드포스는 최근 발표한 보고서에서 ""메모리 수요의 현저한 감소로 공급망 재고 압력이 더 커졌다""며 ""4분기 D램 가격이 13∼18% 떨어질 것""이라고 내다봤다. 트렌드포스는 4분기 낸드플래시 가격도 직전 분기보다 평균 15∼20% 하락할 것으로 예상했다.",IT 일반,https://imgnews.pstatic.net/image/469/2022/09/30/0000699856_001_20221001133701760.jpg?type=w647,https://n.news.naver.com/mnews/article/469/0000699856?sid=105,2022.09.30. 오후 8:10
